id,name,logo,website,phone_number,created_at
1,Echo Events,,,,2018-01-29T23:59:12.000Z
2,Brilliance Event Productions,Logo (square).JPG (https://dl.airtable.com/PUitL5HgRby5SKXHYMUb_Logo%20(square).JPG),www.brilliancepro.com,(516) 342-9955,2018-01-30T00:07:09.000Z
3,OTB,,,,2018-01-30T00:20:09.000Z
4,NY Daily News,,,,2018-01-30T00:22:09.000Z
5,NNOA,,,,2018-01-30T00:22:35.000Z
6,The Retail Network,,,,2018-01-30T00:23:18.000Z
7,Fight for Charity,,,,2018-01-30T00:25:41.000Z
8,Portledge High School,,,,2018-01-30T00:25:59.000Z
9,Cantiague Elementary School,,,,2018-01-30T00:26:37.000Z
10,NAPA,,,,2018-01-30T00:30:35.000Z
11,NFHP,,,,2018-01-30T00:33:05.000Z
12,Marchon Eyewear,,,,2018-01-30T00:36:23.000Z
13,Event Concepts,,,,2018-01-30T00:37:57.000Z
14,Farmingdale High School,,,,2018-01-30T00:43:26.000Z
15,NSSA,,,,2018-01-30T00:43:38.000Z
16,NARI,,,,2018-01-30T00:44:51.000Z
17,Rubenstein Associates,,,,2018-02-08T21:57:44.000Z
18,Island Trees High School,,,,2018-02-20T15:35:33.000Z
19,John F. Kennedy High School,,,(516) 992-1400,2018-02-20T16:06:02.000Z
20,Long Island Networking Elite,,,,2018-02-20T17:25:59.000Z
21,Posillico Inc.,,,,2018-02-20T21:27:08.000Z
22,Magic Mike Entertainment,,,,2018-02-21T20:26:48.000Z
23,Eventique,,,,2018-02-21T20:28:40.000Z
24,Premier Events,,,,2018-02-21T20:28:50.000Z
25,ET Events,,,,2018-02-21T23:08:46.000Z
26,Expressway Music,,,,2018-02-21T23:10:49.000Z
27,Adwar Video,,,(631) 777-7070,2018-02-21T23:11:08.000Z
28,DJUSA,,,,2018-02-21T23:12:50.000Z
29,Applied Electronics,,,757-591-9371; 800-883-0008,2018-02-21T23:15:59.000Z
30,Chezam Entertainment,,,,2018-02-21T23:18:05.000Z
31,BPN,,,(631) 595-2015,2018-02-21T23:20:56.000Z
32,BTX,,,914-592-1800; 800-666-0996,2018-02-21T23:23:05.000Z
33,The Projekt,,,,2018-02-21T23:23:49.000Z
34,Bestek,,,,2018-02-21T23:23:58.000Z
35,Bulbtronics,,,(631) 249-2272,2018-02-21T23:24:29.000Z
36,The Town of Oyster Bay,,,,2018-02-21T23:29:51.000Z
37,4Wall,,,,2018-02-21T23:30:54.000Z
38,Infinity Productions,,,,2018-02-21T23:31:08.000Z
39,Davidson Electronics,,,(516) 753-0197,2018-02-21T23:31:49.000Z
40,The Carltun,,,,2018-02-21T23:32:08.000Z
41,B4U DJ's,,,,2018-02-21T23:35:16.000Z
42,Carlyle on the Green,,,,2018-02-21T23:35:32.000Z
43,Lessing's,,,,2018-02-21T23:39:37.000Z
44,AV Group,,,,2018-02-21T23:40:18.000Z
45,EKO Productions,,,(631) 243-4250,2018-02-21T23:40:57.000Z
46,Party Harty,,,,2018-02-21T23:42:48.000Z
47,Evolution Productions,,,(516) 586-8600,2018-02-21T23:43:05.000Z
