id,inventory_id,description,quantity,inc,discount_adj,kind,hours_for_labor_only,description_only,inc_discount_in_opct,created_at
1,7,Dry Ice Drop,,0,,,,1,,2018-02-03T22:17:22.000Z
2,6,,,0,,,,0,,2018-02-03T22:17:22.000Z
3,13,LED Stage,,0,,,,1,,2018-02-03T22:17:22.000Z
4,5,,,0,,,,0,,2018-02-04T03:07:06.000Z
5,17,,1,0,,,,0,,2018-02-04T03:07:06.000Z
6,2,Vizi Beam,,0,,,,1,,2018-02-04T03:07:06.000Z
7,19,,,0,,,,0,,2018-02-04T03:07:06.000Z
8,5,Static LED Walls,,0,,,,1,,2018-02-04T03:07:06.000Z
9,6,Static LED Walls and Columns,,0,,,,1,,2018-02-04T03:07:06.000Z
10,1,,,0,,,,0,,2018-02-04T03:07:06.000Z
11,8,Live Simulcast,,0,,,,1,,2018-02-04T03:07:06.000Z
12,4,Zapshot Camera,,1,,,,1,,2018-02-04T03:07:06.000Z
13,18,,,0,,,,0,,2018-02-04T03:07:06.000Z
14,10,,,0,,,,0,,2018-02-04T03:07:06.000Z
15,16,,,0,,,,0,,2018-02-04T03:07:06.000Z
16,9,Skype,,0,,,,1,,2018-02-04T03:07:06.000Z
17,15,,,0,,,,0,,2018-02-04T03:07:06.000Z
18,3,,6,0,,,,0,,2018-02-04T03:07:06.000Z
19,11,,1,0,,,,0,,2018-02-04T03:07:06.000Z
20,21,Wireless Headset,,0,,,,1,,2018-02-04T03:07:06.000Z
21,20,4' x 8' Black Stage,1,0,,,,1,,2018-02-04T03:07:06.000Z
22,12,,,0,,,,0,,2018-02-04T03:07:06.000Z
23,22,for front light,2,0,,,,0,,2018-02-06T17:42:46.000Z
24,23,,2,0,,,,0,,2018-02-06T17:53:24.000Z
25,,Dimming System for Lighting Control,1,0,,,,0,,2018-02-06T17:56:20.000Z
26,24,Wireless Lapel Microphones,2,0,,,,1,,2018-02-06T21:26:32.000Z
27,25,Wireless Handheld Microphone,1,0,,,,1,,2018-02-06T21:29:15.000Z
28,26,,1,0,,,,0,,2018-02-06T22:00:56.000Z
