id,name,category,manufacturer,total_owned,sell_price,rental_price,net_cost_per_invoice,purchase_price,photo_file_name,photo_file_type,photo_file_path,created_at
1,Snow Machine,Special Effects,,,350,0,0,0,arcticsnowmachine1553.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/arcticsnowmachine1553.jpg,2018-01-28T15:25:08.000Z
2,Vizi Beam 5rx,"Lighting,Moving Head",ADJ,12,250,0,0,0,ADJ_Vizi_Beam.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/ADJ_Vizi_Beam.jpg,2018-01-28T15:25:08.000Z
3,Adjustable Stage Leg,Staging,Wenger,179,0,0,0,0,Wenger_Stage_Leg.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Wenger_Stage_Leg.jpg,2018-01-28T15:25:08.000Z
4,Rebel T4i,Photography,Canon,1,100,0,0,0,Canon_T4i.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Canon_T4i.jpg,2018-01-28T22:42:29.000Z
5,LED Walls,"COTG,Installed,Lighting",,,1200,0,0,0,COTG_2.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/COTG_2.jpg,2018-01-28T22:42:29.000Z
6,LED Walls and Columns,"CATP,Installed,Lighting",,,1200,0,0,0,CATP.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/CATP.jpg,2018-01-28T22:42:29.000Z
7,Dry Ice Machine,Special Effects,,,300,0,0,0,dry_ice.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/dry_ice.jpg,2018-01-28T22:42:29.000Z
8,Live Simulcast Camera,"Video,Cameras",,,0,0,0,0,,,,2018-01-28T22:42:29.000Z
9,Skype Camera,"Video,Cameras",,2,0,0,0,0,skype.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/skype.jpg,2018-01-28T22:42:29.000Z
10,Zapshot Technician,Labor,,,300,0,200,0,,,,2018-01-28T22:42:29.000Z
11,Lighting Operator,Labor,,,300,0,200,0,,,,2018-01-28T22:42:29.000Z
12,Video Screens,"CATP,Installed,Video",,,500,0,0,0,CATP_screens.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/CATP_screens.jpg,2018-01-28T22:42:29.000Z
13,4' x 4' Pixel Panel,"Staging,Lighting",Staging Dimensions,4,200,0,0,0,pixelpanel.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/pixelpanel.jpg,2018-01-28T22:42:29.000Z
14,Mac 700,"Lighting,Moving Head",Martin,8,300,0,0,1000,Mac_700.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Mac_700.jpg,2018-01-28T22:42:29.000Z
15,Custom Gobo,"Lighting,CATP,COTG,CANS",,,300,0,70,0,custom_gobo.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/custom_gobo.jpg,2018-01-28T23:06:48.000Z
16,Dance Floor Lighting,"COTG,Installed,Lighting",,,500,0,0,0,,,,2018-01-28T23:26:50.000Z
17,Video Operator,Labor,,,300,0,200,0,,,,2018-01-28T23:27:06.000Z
18,Dance Floor Lighting,"CATP,Installed,Lighting",,,500,0,0,0,,,,2018-01-28T23:27:19.000Z
19,Mac Aura,"Lighting,Moving Head",Martin,12,200,0,0,0,Mac_Aura.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Mac_Aura.jpg,2018-01-30T02:57:18.000Z
20,4' x 8' Black Stage,Staging,Wenger,40,100,50,0,0,Wenger_Black_Stage.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Wenger_Black_Stage.jpg,2018-01-30T15:11:32.000Z
21,Airline Micro Headset,"Sound,Microphones",Samson,3,50,0,0,0,Samson_Airline_Micro.jpg,jpg,/Users/Steve/Documents/dev/bep_data/inventory_images/Samson_Airline_Micro.jpg,2018-02-04T03:25:47.000Z
