id,type,status,payment_status,payment_type,commission_paid,check_info,discount,deposit,tip,refund,commission_actual,event_id,created_at
1,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,134,2018-01-28 9:29pm
2,On Premise Contract,,Paid In Full,Unknown,,,500.00,,,,,177,2018-01-28 9:30pm
3,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,178,2018-01-28 9:30pm
4,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,47,2018-01-28 9:30pm
5,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,111,2018-01-28 9:30pm
6,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,52,2018-01-28 9:30pm
7,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,113,2018-01-28 9:30pm
8,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,23,2018-01-28 9:30pm
9,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,49,2018-01-28 9:30pm
10,On Premise Contract,,Paid In Full,Unknown,,,800.00,,,,,61,2018-01-28 9:30pm
11,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,57,2018-01-28 9:30pm
12,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,136,2018-01-28 9:30pm
13,On Premise Contract,,Paid In Full,Unknown,,,800.00,,,,,97,2018-01-28 9:30pm
14,On Premise Contract,,Paid In Full,Unknown,,,450.00,,,,,143,2018-01-28 9:30pm
15,On Premise Contract,,Paid In Full,Unknown,,,150.00,,,,,81,2018-01-28 9:30pm
16,On Premise Contract,,Paid In Full,Unknown,,,100.00,,,,,109,2018-01-28 9:30pm
17,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,40,2018-01-28 9:30pm
18,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,244,2018-01-28 9:30pm
19,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,100,2018-01-28 9:30pm
20,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,231,2018-01-28 9:30pm
21,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,157,2018-01-28 9:30pm
22,On Premise Contract,,Paid In Full,Unknown,,,250.00,,,,,127,2018-01-28 9:30pm
23,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,214,2018-01-28 9:30pm
24,On Premise Contract,,Paid In Full,Cash,,,500.00,,,,,15,2018-01-28 9:30pm
25,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,7,2018-01-28 9:30pm
26,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,133,2018-01-28 9:30pm
27,On Premise Contract,,Paid In Full,Unknown,,,300.00,,,,,105,2018-01-28 9:30pm
28,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,146,2018-01-28 9:30pm
29,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,70,2018-01-28 9:30pm
30,On Premise Contract,,Paid In Full,Unknown,,,100.00,,,,,14,2018-01-28 9:30pm
31,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,126,2018-01-28 9:30pm
32,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,152,2018-01-28 9:30pm
33,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,89,2018-01-28 9:30pm
34,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,36,2018-01-28 9:30pm
35,On Premise Contract,,Paid In Full,Unknown,,,900.00,,,,,199,2018-01-28 9:30pm
36,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,42,2018-01-28 9:30pm
37,On Premise Contract,,Paid In Full,Check,,,900.00,,,,,108,2018-01-28 9:30pm
38,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,208,2018-01-28 9:30pm
39,On Premise Contract,,Paid In Full,Unknown,,,2000.00,,,,,9,2018-01-28 9:30pm
40,On Premise Contract,,Paid In Full,Unknown,,,100.00,,,,,59,2018-01-28 9:30pm
41,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,95,2018-01-28 9:30pm
42,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,161,2018-01-28 9:30pm
43,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,192,2018-01-28 9:30pm
44,On Premise Contract,,Paid In Full,Unknown,,,600.00,,,,,155,2018-01-28 9:30pm
45,On Premise Contract,,Paid In Full,Unknown,,,1300.00,,,,,194,2018-01-28 9:30pm
46,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,20,2018-01-28 9:30pm
47,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,123,2018-01-28 9:30pm
48,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,213,2018-01-28 9:30pm
49,On Premise Contract,,Paid In Full,Unknown,,,1300.00,,,,,125,2018-01-28 9:30pm
50,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,148,2018-01-28 9:30pm
51,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,86,2018-01-28 9:30pm
52,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,172,2018-01-28 9:30pm
53,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,103,2018-01-28 9:30pm
54,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,92,2018-01-28 9:30pm
55,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,160,2018-01-28 9:30pm
56,On Premise Contract,,Paid In Full,Unknown,,,200.00,,,,,180,2018-01-28 9:30pm
57,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,240,2018-01-28 9:30pm
58,On Premise Contract,,Paid In Full,Unknown,,,900.00,,,,,243,2018-01-28 9:30pm
59,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,24,2018-01-28 9:30pm
60,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,110,2018-01-28 9:30pm
61,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,196,2018-01-28 9:30pm
62,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,64,2018-01-28 9:30pm
63,On Premise Contract,,Paid In Full,Unknown,,,0.00,,,,,76,2018-01-28 9:30pm
