id,content_id,item_id,created_at
1,74,111,2018-05-05 3:50am
2,131,161,2018-05-06 10:29am
3,34,64,2018-05-06 10:29am
4,180,199,2018-05-06 10:29am
5,102,133,2018-05-06 10:29am
6,83,116,2018-05-06 10:29am
7,76,167,2018-05-06 10:29am
8,38,56,2018-05-06 10:29am
9,11,22,2018-05-06 10:29am
10,19,,2018-05-06 10:29am
11,37,189,2018-05-06 10:29am
12,22,92,2018-05-06 10:29am
13,38,44,2018-05-06 10:29am
14,38,37,2018-05-06 10:29am
15,148,176,2018-05-06 10:29am
16,22,,2018-05-06 10:29am
17,5,31,2018-05-06 10:29am
18,121,153,2018-05-06 10:29am
19,37,107,2018-05-06 10:29am
20,22,67,2018-05-06 10:29am
21,36,79,2018-05-06 10:29am
22,20,25,2018-05-06 10:29am
23,157,180,2018-05-06 10:29am
24,103,134,2018-05-06 10:29am
25,81,163,2018-05-06 10:29am
26,22,41,2018-05-06 10:29am
27,106,,2018-05-06 10:29am
28,132,164,2018-05-06 10:29am
29,125,156,2018-05-06 10:29am
30,156,179,2018-05-06 10:29am
31,174,198,2018-05-06 10:29am
32,22,51,2018-05-06 10:29am
33,113,145,2018-05-06 10:29am
34,38,32,2018-05-06 10:29am
35,46,82,2018-05-06 10:29am
36,184,207,2018-05-06 10:29am
37,193,98,2018-05-06 10:29am
38,22,68,2018-05-06 10:29am
39,19,13,2018-05-06 10:29am
40,37,99,2018-05-06 10:29am
41,76,158,2018-05-06 10:29am
42,162,184,2018-05-06 10:29am
43,139,169,2018-05-06 10:29am
44,38,55,2018-05-06 10:29am
45,18,46,2018-05-06 10:29am
46,149,177,2018-05-06 10:29am
47,5,155,2018-05-06 10:29am
48,107,137,2018-05-06 10:29am
49,9,4,2018-05-06 10:29am
50,9,20,2018-05-06 10:29am
51,9,80,2018-05-06 10:29am
52,19,5,2018-05-06 10:29am
53,120,152,2018-05-06 10:29am
54,168,192,2018-05-06 10:29am
55,160,182,2018-05-06 10:29am
56,140,170,2018-05-06 10:29am
57,3,19,2018-05-06 10:29am
58,19,14,2018-05-06 10:29am
59,110,139,2018-05-06 10:29am
60,2,3,2018-05-06 10:29am
61,104,136,2018-05-06 10:29am
62,38,45,2018-05-06 10:29am
63,51,85,2018-05-06 10:29am
64,101,132,2018-05-06 10:29am
65,5,138,2018-05-06 10:29am
66,166,190,2018-05-06 10:29am
67,19,1,2018-05-06 10:29am
68,87,120,2018-05-06 10:29am
69,22,,2018-05-06 10:29am
70,65,103,2018-05-06 10:29am
71,40,74,2018-05-06 10:29am
72,63,101,2018-05-06 10:29am
73,33,63,2018-05-06 10:29am
74,91,122,2018-05-06 10:29am
75,72,175,2018-05-06 10:29am
76,9,43,2018-05-06 10:29am
77,183,205,2018-05-06 10:29am
78,178,197,2018-05-06 10:29am
79,184,204,2018-05-06 10:29am
80,166,127,2018-05-06 10:29am
81,141,173,2018-05-06 10:29am
82,61,97,2018-05-06 10:29am
83,2,62,2018-05-06 10:29am
84,38,58,2018-05-06 10:29am
85,37,72,2018-05-06 10:29am
86,13,38,2018-05-06 10:29am
87,38,73,2018-05-06 10:29am
88,51,130,2018-05-06 10:29am
89,6,209,2018-05-06 10:29am
90,9,48,2018-05-06 10:29am
91,115,147,2018-05-06 10:29am
92,118,150,2018-05-06 10:29am
93,47,83,2018-05-06 10:29am
94,9,8,2018-05-06 10:29am
95,153,178,2018-05-06 10:29am
96,77,114,2018-05-06 10:29am
97,92,124,2018-05-06 10:29am
98,48,104,2018-05-06 10:29am
99,62,200,2018-05-06 10:29am
100,1,30,2018-05-06 10:29am
101,117,149,2018-05-06 10:29am
102,38,53,2018-05-06 10:29am
103,99,168,2018-05-06 10:29am
104,36,143,2018-05-06 10:29am
105,38,54,2018-05-06 10:29am
106,4,110,2018-05-06 10:29am
107,22,2,2018-05-06 10:29am
108,119,151,2018-05-06 10:29am
109,165,186,2018-05-06 10:29am
110,109,140,2018-05-06 10:29am
111,17,15,2018-05-06 10:29am
112,9,39,2018-05-06 10:29am
113,38,57,2018-05-06 10:29am
114,94,188,2018-05-06 10:29am
115,16,66,2018-05-06 10:29am
116,51,93,2018-05-06 10:29am
117,167,191,2018-05-06 10:29am
118,94,126,2018-05-06 10:29am
119,45,81,2018-05-06 10:29am
120,10,26,2018-05-06 10:29am
121,41,76,2018-05-06 10:29am
122,53,91,2018-05-06 10:29am
123,17,117,2018-05-06 10:29am
124,86,119,2018-05-06 10:29am
125,17,70,2018-05-06 10:29am
126,112,144,2018-05-06 10:29am
127,122,154,2018-05-06 10:29am
128,9,,2018-05-06 10:29am
129,30,61,2018-05-06 10:29am
130,22,36,2018-05-06 10:29am
131,142,174,2018-05-06 10:29am
132,16,21,2018-05-06 10:29am
133,64,102,2018-05-06 10:29am
134,19,60,2018-05-06 10:29am
135,48,105,2018-05-06 10:29am
136,172,201,2018-05-06 10:29am
137,76,112,2018-05-06 10:29am
138,77,202,2018-05-06 10:29am
139,22,11,2018-05-06 10:29am
140,19,9,2018-05-06 10:29am
141,93,125,2018-05-06 10:29am
142,35,28,2018-05-06 10:29am
143,40,75,2018-05-06 10:29am
144,22,10,2018-05-06 10:29am
145,37,131,2018-05-06 10:29am
146,33,185,2018-05-06 10:29am
147,19,187,2018-05-06 10:29am
148,77,129,2018-05-06 10:29am
149,71,109,2018-05-06 10:29am
150,111,142,2018-05-06 10:29am
151,51,106,2018-05-06 10:29am
152,37,135,2018-05-06 10:29am
153,60,96,2018-05-06 10:29am
154,36,113,2018-05-06 10:29am
155,2,7,2018-05-06 10:29am
156,5,141,2018-05-06 10:29am
157,52,86,2018-05-06 10:29am
158,36,65,2018-05-06 10:29am
159,13,35,2018-05-06 10:29am
160,38,59,2018-05-06 10:29am
161,22,34,2018-05-06 10:29am
162,37,78,2018-05-06 10:29am
163,19,47,2018-05-06 10:29am
164,116,172,2018-05-06 10:29am
165,137,165,2018-05-06 10:29am
166,37,181,2018-05-06 10:29am
167,22,6,2018-05-06 10:29am
168,92,183,2018-05-06 10:29am
169,172,193,2018-05-06 10:29am
170,57,94,2018-05-06 10:29am
171,130,216,2018-05-06 10:29am
172,38,52,2018-05-06 10:29am
173,40,100,2018-05-06 10:29am
174,8,12,2018-05-06 10:29am
175,19,203,2018-05-06 10:29am
176,37,69,2018-05-06 10:29am
177,38,77,2018-05-06 10:29am
178,173,196,2018-05-06 10:29am
179,12,17,2018-05-06 10:29am
180,138,166,2018-05-06 10:29am
181,59,95,2018-05-06 10:29am
182,39,71,2018-05-06 10:29am
183,80,115,2018-05-06 10:29am
184,22,42,2018-05-06 10:29am
185,85,118,2018-05-06 10:29am
186,89,121,2018-05-06 10:29am
187,19,162,2018-05-06 10:29am
188,116,148,2018-05-06 10:29am
189,22,33,2018-05-06 10:29am
190,181,,2018-05-06 10:29am
191,19,206,2018-05-06 10:29am
192,73,111,2018-05-06 10:31am
193,75,111,2018-05-06 10:31am
194,161,184,2018-05-06 10:31am
195,124,156,2018-05-06 10:31am
196,123,156,2018-05-06 10:31am
197,91,156,2018-05-06 10:31am
198,115,173,2018-05-06 10:32am
199,99,132,2018-05-06 10:32am
200,100,132,2018-05-06 10:32am
201,114,147,2018-05-06 10:32am
202,21,46,2018-05-06 10:33am
203,129,157,2018-05-06 10:33am
204,128,157,2018-05-06 10:33am
205,127,157,2018-05-06 10:33am
206,126,157,2018-05-06 10:33am
207,43,76,2018-05-06 10:34am
208,42,76,2018-05-06 10:34am
209,44,76,2018-05-06 10:34am
210,136,165,2018-05-06 10:35am
211,135,165,2018-05-06 10:35am
212,134,165,2018-05-06 10:35am
213,133,165,2018-05-06 10:36am
214,171,193,2018-05-06 10:36am
215,50,193,2018-05-06 10:36am
216,170,193,2018-05-06 10:36am
217,169,193,2018-05-06 10:36am
218,159,182,2018-05-06 10:36am
219,36,182,2018-05-06 10:36am
220,152,178,2018-05-06 10:36am
221,151,178,2018-05-06 10:36am
222,144,178,2018-05-06 10:36am
223,150,178,2018-05-06 10:36am
224,149,176,2018-05-06 10:36am
225,146,176,2018-05-06 10:36am
226,145,176,2018-05-06 10:36am
227,148,177,2018-05-06 10:37am
228,147,177,2018-05-06 10:37am
229,25,60,2018-05-06 10:37am
230,24,60,2018-05-06 10:37am
231,23,60,2018-05-06 10:37am
232,29,61,2018-05-06 10:37am
233,28,61,2018-05-06 10:37am
234,27,61,2018-05-06 10:37am
235,26,61,2018-05-06 10:37am
236,55,93,2018-05-06 10:37am
237,54,93,2018-05-06 10:37am
238,62,101,2018-05-06 10:37am
239,51,101,2018-05-06 10:37am
240,50,101,2018-05-06 10:37am
241,33,102,2018-05-06 10:38am
242,62,102,2018-05-06 10:38am
243,63,102,2018-05-06 10:38am
244,51,102,2018-05-06 10:38am
245,50,102,2018-05-06 10:38am
246,33,103,2018-05-06 10:38am
247,62,103,2018-05-06 10:38am
248,63,103,2018-05-06 10:38am
249,51,103,2018-05-06 10:38am
250,50,103,2018-05-06 10:38am
251,67,106,2018-05-06 10:38am
252,66,106,2018-05-06 10:39am
253,70,109,2018-05-06 10:39am
254,69,109,2018-05-06 10:40am
255,68,109,2018-05-06 10:40am
256,51,179,2018-05-06 10:43am
257,155,179,2018-05-06 10:43am
258,28,179,2018-05-06 10:43am
259,50,179,2018-05-06 10:43am
260,154,179,2018-05-06 10:44am
261,96,179,2018-05-06 10:48am
262,27,185,2018-05-06 10:48am
263,164,185,2018-05-06 10:48am
264,66,185,2018-05-06 10:48am
265,163,185,2018-05-06 10:48am
266,51,185,2018-05-06 10:48am
267,63,200,2018-05-06 10:48am
268,97,200,2018-05-06 10:48am
269,50,200,2018-05-06 10:48am
270,51,200,2018-05-06 10:48am
271,50,85,2018-05-06 10:50am
272,49,85,2018-05-06 10:50am
273,48,85,2018-05-06 10:50am
274,51,201,2018-05-06 10:52am
275,97,201,2018-05-06 10:52am
276,63,201,2018-05-06 10:52am
277,58,95,2018-05-06 10:52am
278,158,180,2018-05-06 10:52am
279,140,180,2018-05-06 10:52am
280,114,180,2018-05-06 10:52am
281,115,180,2018-05-06 10:52am
282,58,190,2018-05-06 10:52am
283,127,161,2018-05-06 10:52am
284,98,130,2018-05-06 10:53am
285,97,130,2018-05-06 10:53am
286,96,130,2018-05-06 10:53am
287,95,130,2018-05-06 10:54am
288,14,17,2018-05-06 10:54am
289,22,66,2018-05-06 10:54am
290,2,1,2018-05-06 10:54am
291,2,2,2018-05-06 10:54am
292,22,54,2018-05-06 10:54am
293,2,54,2018-05-06 10:54am
294,19,3,2018-05-06 10:54am
295,22,3,2018-05-06 10:54am
296,5,3,2018-05-06 10:54am
297,13,3,2018-05-06 10:55am
298,22,55,2018-05-06 10:55am
