id,inc,inc_in_commission,discount_adj,invoice_id,item_id,created_at
1,0,0,$200.00,1,7,2018-01-30 4:17am
2,0,0,,61,57,2018-01-30 4:17am
3,0,0,,147,45,2018-01-30 4:17am
4,0,0,,97,3,2018-01-30 4:17am
5,0,0,,219,55,2018-01-30 4:17am
6,0,0,$400.00,201,36,2018-01-30 4:17am
7,0,0,,163,3,2018-01-30 4:17am
8,0,0,,96,2,2018-01-30 4:17am
9,0,0,$450.00,105,47,2018-01-30 4:17am
10,0,0,,180,56,2018-01-30 4:17am
11,0,0,"$1,400.00",227,35,2018-01-30 4:17am
12,0,0,,35,54,2018-01-30 4:17am
13,0,0,"$1,400.00",72,35,2018-01-30 4:17am
14,0,0,$300.00,212,57,2018-01-30 4:17am
15,0,0,,62,3,2018-01-30 4:17am
16,0,0,-$400.00,28,6,2018-01-30 4:17am
17,0,0,-$500.00,19,1,2018-01-30 4:17am
18,0,0,"$1,500.00",198,35,2018-01-30 4:17am
19,0,0,"$1,700.00",134,35,2018-01-30 4:17am
20,0,0,"$1,900.00",248,55,2018-01-30 4:17am
21,0,0,,192,54,2018-01-30 4:17am
22,0,0,$500.00,189,33,2018-01-30 4:17am
23,0,0,,199,7,2018-01-30 4:17am
24,0,0,$500.00,120,39,2018-01-30 4:17am
25,0,0,,108,11,2018-01-30 4:17am
26,0,0,$400.00,235,55,2018-01-30 4:17am
27,0,0,$450.00,144,48,2018-01-30 4:17am
28,0,0,,243,44,2018-01-30 4:17am
29,0,0,,119,8,2018-01-30 4:17am
30,0,0,$800.00,176,36,2018-01-30 4:17am
31,0,0,,171,2,2018-01-30 4:17am
32,0,0,"$1,400.00",88,35,2018-01-30 4:17am
33,0,0,,224,25,2018-01-30 4:17am
34,0,0,,55,2,2018-01-30 4:17am
35,0,0,$250.00,238,20,2018-01-30 4:17am
36,0,0,-$400.00,148,3,2018-01-30 4:17am
37,0,0,$450.00,32,47,2018-01-30 4:17am
38,0,0,,92,6,2018-01-30 4:17am
39,0,0,,77,45,2018-01-30 4:17am
40,0,0,,95,7,2018-01-30 4:17am
41,0,0,,125,56,2018-01-30 4:17am
42,0,0,$600.00,75,53,2018-01-30 4:17am
43,0,0,$300.00,33,55,2018-01-30 4:17am
44,0,0,,131,45,2018-01-30 4:17am
45,0,0,,21,52,2018-01-30 4:17am
46,0,0,$100.00,168,11,2018-01-30 4:17am
47,0,0,,191,3,2018-01-30 4:17am
48,0,0,,8,3,2018-01-30 4:17am
49,0,0,$500.00,217,7,2018-01-30 4:17am
50,0,0,$900.00,30,45,2018-01-30 4:17am
51,0,0,,34,1,2018-01-30 4:17am
52,0,0,$100.00,247,33,2018-01-30 4:17am
53,0,0,"$1,400.00",143,35,2018-01-30 4:17am
54,0,0,-$450.00,165,8,2018-01-30 4:17am
