id,installation,photo,name,short_name,commission,address_id,company_id,created_at
1,1,IMG_0141.jpg (https://dl.airtable.com/ilPKJFEXTHSfaB5X0hNu_IMG_0141.jpg),Carlyle at the Palace,CATP,0.50,37,,2018-01-28 5:11am
2,1,IMG_0234.jpg (https://dl.airtable.com/8uXPeQ2MTMCj9V8tFL29_IMG_0234.jpg),Carlyle on the Green,COTG,0.50,15,42,2018-01-28 11:47pm
3,0,IMG_5030.JPG (https://dl.airtable.com/WAXqzl3gRoWCd16O6A7c_IMG_5030.JPG),The Shop,,0.00,16,2,2018-01-30 12:04am
4,0,,66 Gibbs Pond Rd,,,13,,2018-02-08 10:01pm
5,0,,Museum of American Armor,,,59,,2018-02-10 2:42am
6,0,,Long Island Marriott Hotel,,,57,,2018-02-10 2:42am
7,0,,Hofstra University,,,53,,2018-02-10 2:42am
8,0,,Teaneck Marriott at Glenpointe,,,66,,2018-02-10 2:42am
9,0,,The Carltun,,,68,40,2018-02-10 2:42am
10,0,,Tobay Beach,,,70,,2018-02-10 2:42am
11,0,,Oheka Castle,,,61,,2018-02-10 2:42am
12,0,,Hyatt Hauppauge,,,38,,2018-02-10 2:42am
13,0,,Theodore Roosevelt Memorial Park,,,69,,2018-02-10 2:42am
14,0,,North Ritz Club,,,60,,2018-02-10 2:42am
15,0,Inside_the_Cage_Platform_Tennis_at_Crest_Hollow_Country_Club_....jpg (https://dl.airtable.com/8TRAtSjGTiqTLpOXfczu_Inside_the_Cage_Platform_Tennis_at_Crest_Hollow_Country_Club_....jpg),Crest Hollow Country Club,CHCC,,47,,2018-02-10 2:42am
16,0,Lessings_-_A_Tradition_of_Excellence.jpg (https://dl.airtable.com/y1g8DS5RcCTM3AAu12kZ_Lessings_-_A_Tradition_of_Excellence.jpg),Stonebridge Golf Links and Country Club,Stonebridge,0.10,39,,2018-02-10 2:42am
17,0,,20 Westbourne Ln,,,4,,2018-02-10 2:42am
18,0,,Museum of Natural History,,,,,2018-02-10 2:42am
19,0,,Pace University - NYC Campus,,,62,,2018-02-10 2:42am
20,1,IMG_2687.jpg (https://dl.airtable.com/lK25yRlCQkjLwcsA9llA_IMG_2687.jpg),Carlyle of Lawrence,CAL,0.50,45,,2018-02-10 2:42am
21,0,,Hyatt Regency - New Brunswick,,,54,,2018-02-10 2:42am
22,0,,Miller's Ale House,,,58,,2018-02-10 2:42am
23,0,,Grumman Studios,,,51,,2018-02-10 2:42am
24,0,,Stonybrook University,,,64,,2018-02-10 2:42am
25,1,Carlyle_at_North_Shore_-_Carlyle_Catering.jpg (https://dl.airtable.com/pmj8hv7pRMCJtxHvYrTg_Carlyle_at_North_Shore_-_Carlyle_Catering.jpg),Carlyle at North Shore,CANS,0.30,14,,2018-02-10 2:42am
26,0,,Temple Avodah,,,67,,2018-02-10 2:42am
27,0,,Knights of Columbus - Oceanside,,,56,,2018-02-10 2:42am
28,0,,2 N 6th St,,,3,,2018-02-10 2:42am
29,0,,The Fox Hollow ,,,49,,2018-02-10 2:42am
30,0,,Westbury Manor,,,71,,2018-02-10 2:42am
31,0,,Pier 60 - Chelsea Piers,,,63,,2018-02-10 2:42am
32,0,,John J. Burns Park,,,55,,2018-02-10 2:42am
33,0,,Gaylord National Resort & Convention Center,,,50,,2018-02-10 2:42am
34,0,,Hilton Long Island/Huntington,,,52,,2018-02-10 2:42am
35,0,,E W Allen Town Park,,,48,,2018-02-10 2:42am
36,0,,Stop & Shop,,,18,,2018-02-10 2:42am
37,0,,Syosset-Woodbury Community Park,,,65,,2018-02-10 2:42am
38,0,,Ascent Lounge,,,44,,2018-02-10 2:42am
39,0,,Changing Lives Christian Center,,,,,2018-02-10 3:14am
40,0,,Eventi Hotel,,,,,2018-02-10 3:14am
41,0,,New Hyde Park Inn,,,,,2018-02-10 3:15am
42,0,,Villa Lombardi's,,,30,,2018-02-10 3:18am
43,0,,Sewanaka High School,,,,,2018-02-10 3:22am
44,0,,The Main Event (Farmingdale),,,,,2018-02-10 3:25am
45,0,,Palmer's Grille,,,,,2018-02-10 3:33am
46,0,,The Marina Del Ray,,,,,2018-02-10 3:34am
